Vertex,a8:f7:d9:59:b7:81,a8:f7:d9:59:b7:a1,a8:f7:d9:59:c6:a1,a8:f7:d9:59:cc:e1,a8:f7:d9:5a:4f:61,a8:f7:d9:5a:4f:81,a8:f7:d9:5a:59:b1,a8:f7:d9:5a:59:d1,a8:f7:d9:5a:5b:f2,a8:f7:d9:5a:5c:12,a8:f7:d9:5a:5e:f1,a8:f7:d9:5a:5f:11,a8:f7:d9:5a:69:11,a8:f7:d9:5a:69:31,a8:f7:d9:5a:6a:c1,a8:f7:d9:5a:6a:e1,a8:f7:d9:5a:6b:81,a8:f7:d9:5a:6b:a1,a8:f7:d9:5a:70:31,a8:f7:d9:5a:70:51,a8:f7:d9:e6:c5:21,a8:f7:d9:e6:c5:41,a8:f7:d9:e6:cd:b1,a8:f7:d9:e6:d1:11
108,-100,-80,-100,-100,-100,-87,-100,-100,-100,-74,-100,-100,-100,-84,-100,-72,-100,-100,-64,-69,-100,-82,-100,-100
108,-100,-83,-100,-100,-100,-86,-100,-100,-73,-74,-100,-100,-100,-81,-100,-74,-100,-100,-67,-69,-100,-85,-100,-100
108,-100,-83,-100,-100,-100,-87,-100,-100,-100,-78,-100,-100,-100,-80,-100,-75,-100,-100,-67,-68,-100,-83,-100,-100
34,-73,-70,-100,-100,-100,-83,-100,-100,-68,-68,-100,-100,-72,-72,-61,-61,-70,-74,-68,-66,-76,-77,-100,-100
34,-74,-75,-100,-100,-100,-80,-100,-100,-65,-62,-100,-100,-100,-69,-63,-64,-67,-75,-100,-72,-100,-78,-100,-100
34,-73,-77,-100,-77,-100,-81,-100,-100,-64,-63,-100,-100,-68,-69,-100,-62,-100,-76,-73,-68,-75,-77,-100,-100
109-32-27-sUP,-78,-72,-100,-100,-100,-87,-100,-85,-72,-75,-79,-80,-68,-57,-48,-50,-69,-75,-100,-77,-100,-82,-82,-84
109-32-27-sUP,-100,-71,-100,-100,-100,-84,-100,-85,-72,-73,-100,-82,-67,-54,-49,-50,-68,-76,-100,-76,-100,-79,-83,-84
109-32-27-sUP,-100,-74,-100,-100,-100,-84,-100,-85,-74,-72,-100,-80,-67,-55,-50,-51,-100,-76,-100,-77,-79,-84,-82,-83
109-32-27-sUP,-100,-73,-100,-100,-100,-100,-100,-85,-100,-72,-100,-81,-67,-55,-49,-51,-68,-76,-100,-77,-100,-83,-82,-84
31,-100,-82,-100,-100,-100,-100,-100,-77,-73,-69,-100,-79,-100,-63,-53,-60,-100,-100,-100,-77,-100,-82,-85,-78
31,-77,-83,-100,-100,-100,-89,-72,-79,-100,-69,-100,-100,-74,-66,-58,-63,-100,-100,-100,-70,-100,-79,-81,-78
31,-100,-83,-100,-100,-100,-100,-73,-77,-73,-69,-100,-84,-100,-67,-56,-60,-100,-88,-100,-70,-100,-78,-81,-78
31,-77,-84,-100,-100,-100,-100,-73,-76,-73,-69,-100,-100,-100,-66,-57,-61,-82,-100,-100,-69,-100,-79,-80,-78
111,-78,-80,-100,-100,-100,-85,-75,-75,-74,-76,-81,-80,-65,-59,-44,-56,-73,-75,-71,-64,-100,-79,-100,-83
111,-78,-77,-100,-100,-100,-82,-100,-86,-100,-75,-100,-100,-78,-75,-49,-55,-100,-100,-80,-75,-76,-79,-100,-100
111,-76,-77,-88,-100,-77,-83,-100,-100,-100,-75,-100,-100,-100,-73,-51,-54,-100,-100,-100,-71,-100,-86,-100,-100
111,-77,-76,-100,-100,-100,-85,-100,-86,-76,-75,-100,-100,-78,-74,-100,-53,-100,-100,-81,-75,-100,-85,-100,-100
library,-78,-80,-87,-100,-100,-86,-100,-84,-100,-64,-100,-100,-100,-74,-73,-68,-100,-100,-60,-59,-100,-78,-100,-100
library,-100,-81,-100,-100,-100,-86,-100,-86,-71,-65,-100,-100,-82,-77,-100,-69,-100,-100,-60,-60,-100,-80,-100,-100
library,-78,-80,-87,-100,-100,-84,-100,-85,-68,-63,-100,-100,-100,-76,-100,-70,-100,-100,-60,-60,-83,-81,-100,-100
library,-77,-79,-100,-100,-100,-85,-100,-85,-66,-66,-100,-100,-100,-75,-74,-70,-100,-100,-100,-60,-81,-80,-100,-100
